Шкаф 3Д Ск Кантри – красивый вместительный трехдверный шкаф в классическом стиле, входящий в состав модульной системы Кантри производства мебельной фабрики Свит меблив. Все три секции шкафа представлены полками за застекленными дверками.
Производитель  	Світ Меблів

Страна производитель	Украина

Тип витрины	прямая

Количество выдвижных ящиков	2(шт.)

Количество дверок	3(шт.)

Материал изготовления витрины

Корпус  	ламинированная ДСП

Фасады  	ламинированная ДСП

Габаритные размеры витрины

Ширина витрины	1670.0(мм)

Глубина витрины	490.0(мм)

Высота витрины	2050.0(мм) 
