Модульная система Мульти "Фея" - это яркая детская в розовом цвете с фотопечатью в виде фей на фасадах, обязательно придется по душе Вашей маленькой принцессе.

Кровать -  один из элементов модульной детской Мульти "Фея" производства Svit Mebliv (Світ меблів).

Вид товара	Кровать
Тип кровати	1-но спальная
Ширина кровати	101,5 см
Длина кровати	206,5 см
Высота изголовья	85 см
Материал корпуса	ДСП
Материал изголовья	ДСП
Цвет корпуса	Белый
Цвет изголовья	Цветная фотопечать
Основа под матрас	Каркас кровати
Размер спального места	90 х 200 см
Размер необходимого матраса	90 х 200 см
Комплектация	Матрас докупается отдельно
Производитель	МФ "Світ меблів"
