Спальня "Эмилия"- превосходная классическая спальня, которая идеально впишется в интерьер квартиры, дачи , гостинницы, а также квартиры сдаваемой в наем. Спальный гарнитур имеет модульную структуру, каждый элемент можно купить отдельно в произвольной комплектации. 
Производитель  	Світ Меблів
Страна производитель	Украина
Тип комплекта	модульный
Состав гарнитура (комплекта)	
Кровать	двухспальная
Шкаф для одежды (распашной)	4-х дверный
Прикроватная тумбочка	2(шт.)
Комод	1(шт.)
Зеркало	1(шт.)
Материал изготовления спального гарнитура	
Корпус (каркас)  	ламинированная ДСП
Фасады  	МДФ
Каркас кровати	ламинированная ДСП
