Описание Витрина 1W1S модульной системы Лавенда - это простой и изысканный вариант для Вашей гостиной. Витрина однодверная с полками внутри и с выдвижным ящиком внизу. Витрину можно доукомплектовать другими элементами модульной системы Лавенда. Модульная система Лавенда от фабрики ВМВ Холдинг изготавливается из высококачественных материалов отечественного и зарубежного производства. Замечательная, изысканная спальня в белом цвете не оставит равнодушным ценителей изящных форм и красоты. Изготавливается в цвете дуб шоколадный/сосна норвежский. Модульная система Лавенда имеет множество компонентов которые могут подойти для спальни, гостиной, детской и даже прихожей. Основной и неизменной чертой прованс является светлый, близкий к деревенского стиля дизайн, подчеркнет колорит. Если любите стиль прованс то именно такая мебель от системы Лавенда прекрасно подойдет оформить Ваш интерьер комнаты.
Высота	2000
Ширина	750
Глубина	440
Вес (кг)	80.5
Тип мебели	Шкаф витрина
Функциональное назначение	для посуды, книг
Форма	линейный
Модель	Лавенда
Производитель	VMV
Страна	Украина
Угол поворота	Отсутствует
Расположение	отдельно стоящий
Цвет основной	Сосна/Норвежская/Светлый
Материал основной	ЛДСП/Стекло
Материал корпуса	ЛДСП
Цвет корпуса	Сосна/Норвежская/Светлый
Отделка основная	Нет
Доп. аксессуары	Нет
Количество дверей	1
Вид открывания дверей	Распашные
Количество ящиков	1
Количество полок	4
Вид полки	стационарная
Материал полки	Стекло
Вид штанги	Нет
Вид карниза	Стационарный
Вид ножек	Отсутствуют
Скрыть характеристики
