Комод 1B1D4S не займет много места и при этом очень вместительный. Комод можно поставить в гостиной, спальне, кабинете или прихожей. Комод состоит из четырех выдвижных ящика и двух однодверних отделений. Комод можно дополнить другими элементами из модульной системы Лавенда. Модульная система Лавенда от фабрики ВМВ Холдинг изготавливается из высококачественных материалов отечественного и зарубежного производства. Замечательная, изысканная спальня в белом цвете не оставит равнодушным ценителей изящных форм и красоты. Изготавливается в цвете дуб шоколадный/сосна норвежский. Модульная система Лавенда имеет множество компонентов которые могут подойти для спальни, гостиной, детской и даже прихожей. Основной и неизменной чертой прованс является светлый, близкий к деревенского стиля дизайн, подчеркнет колорит. Если любите стиль прованс то именно такая мебель от системы Лавенда прекрасно подойдет оформить Ваш интерьер комнаты.
Высота	1260
Ширина	1030
Глубина	410
Вес (кг)	73.5
Тип мебели	Комод
Форма	линейный
Тон основной	Светлый
Модель	Лавенда
Производитель	VMV
Страна	Украина
Угол поворота	Отсутствует
Расположение	отдельно стоящий
Цвет основной	Сосна/Норвежская/Светлый
Материал основной	ДСП
Материал корпуса	ДСП
Цвет корпуса	Сосна/Норвежская/Светлый
Отделка основная	Нет
Доп. аксессуары	Нет
Количество дверей	2
Вид открывания дверей	Распашные/откидные
Количество ящиков	4
Количество полок	1
Вид полки	стационарная
Материал полки	ДСП
Вид ножек	Стационарные
