Шкаф 2D1S модульной системы Лавенда смотрится очень стильно, современно и элегантно. Шкаф гармонично дополнит интерьер гостиной или спальни. Внутреннее наполнение шкафа состоит из штанги и полки. В нижней части шкафа есть выдвижной ящик. Шкаф можно дополнить другими элементами из модульной системы Лавенда. Модульная система Лавенда от фабрики ВМВ Холдинг изготавливается из высококачественных материалов отечественного и зарубежного производства. Замечательная, изысканная спальня в белом цвете не оставит равнодушным ценителей изящных форм и красоты. Изготавливается в цвете дуб шоколадный/сосна норвежский. Модульная система Лавенда имеет множество компонентов которые могут подойти для спальни, гостиной, детской и даже прихожей. Основной и неизменной чертой прованс является светлый, близкий к деревенского стиля дизайн, подчеркнет колорит. Если любите стиль прованс то именно такая мебель от системы Лавенда прекрасно подойдет оформить Ваш интерьер комнаты.
Высота	2000
Ширина	750
Глубина	440
Вес (кг)	80.5
Тип мебели	Шкаф для одежды
Функциональное назначение	для одежды (платья)/для белья
Форма	линейный
Модель	Лавенда
Производитель	VMV
Страна	Украина
Угол поворота	Отсутствует
Расположение	отдельно стоящий
Цвет основной	Сосна/Норвежская/Светлый
Материал основной	ЛДСП
Материал корпуса	ЛДСП
Цвет корпуса	Сосна/Норвежская/Светлый
Отделка основная	Нет
Доп. аксессуары	Нет
Количество дверей	2
Вид открывания дверей	Распашные
Количество ящиков	1
Вид полки	нет
Материал полки	Нет
Количество штанг	1
Вид штанги	Продольная
Вид карниза	Стационарный
