Вместительный и элегантный шкаф, выделяется простым внешним видом и удобством в использовании. Изделие произведено из качественного ЛДСП и импортной фурнитуры. Шкаф представляет собой два больших отделения для размещения одежды. Оба закрыты распашными, глухими дверцами, для удобства открывание в центральной части, установлены ручки строгого дизайна. Левая часть шкафа предназначена для хранения вещей в расправленном виде на вешалках. В верхней части установлена широкая, стационарная полка для хранения головных уборов или коробок. Под ней крепится продольная штанга. Правая часть укомплектована съемными полки высоту которых можно регулировать, хранение вещей в сложенном виде станет удобней. В нижней части шкафа имеется два выдвижных ящика для белья и аксессуаров. Используется только фурнитура высокого качества, поэтому все дверцы и ящики открываются и закрываются бесшумно. Сочетание темного карниза цвета дуб шоколадный со светлым корпусом оттенка сосны норвежской, смотрится потрясающе, придавая помещению изысканность, подчеркивая ваш утонченный вкус. 
Высота	2150
Ширина	2040
Глубина	540
Вес (кг)	230
Тип мебели	Шкаф для одежды
Функциональное назначение	для одежды (платья)/для белья
Форма	линейный
Модель	Лавенда
Производитель	VMV
Страна	Украина
Угол поворота	Отсутствует
Расположение	отдельно стоящий
Цвет основной	Сосна/Норвежская/Светлый
Материал основной	ЛДСП
Материал корпуса	ЛДСП
Цвет корпуса	Сосна/Норвежская/Светлый
Отделка основная	Зеркало
Доп. аксессуары	Нет
Количество дверей	4
Вид открывания дверей	Распашные
Количество полок	8
Вид полки	стационарная/съемная
Материал полки	ЛДСП
Количество штанг	1
Вид штанги	Продольная
Вид карниза	Стационарный
