Красивая, вместительная тумба для поможет вам систематизировать и удобно расставить большое количество пар обуви, при этом она прекрасно впишется в современный интерьер в классическом стиле. Модель выполнена в цвете темный венге. Он придает мебели дополнительную привлекательность и отлично гармонирует практически со всеми оттенками.
Конструкция состоит из четырех ящиков, расположенных в два ряда. Сверху находится открытая полочка, где прекрасно разместятся средства по уходу за обувью, а большая столешница может служить для расстановки предметов декора, размещения сумок и многого другого. Ящики имеют откидную систему открывания, что значительно экономит пространство. Изготовлена мебель из качественного ДСП, а фасад  МДФ с имитацией текстуры дерева. Обувница станет прекрасным, функциональным дополнением обстановки.
Высота	1050
Ширина	1040
Глубина	255
Вес (кг)	34
Тип мебели	Тумба для обуви
Форма	линейная
Модель	ПОП
Производитель	VMV
Страна	Украина
Угол поворота	Отсутствует
Расположение	пристенный
Цвет основной	Венге/Нет/Темный
Материал основной	ЛДСП
Материал корпуса	ЛДСП
Цвет корпуса	Венге/Нет/Темный
Отделка основная	Нет
Доп. аксессуары	Нет
Количество дверей	4
Вид открывания дверей	Откидные
Количество полок	4
Вид полки	стационарная
Материал полки	ДСП
