Оригинальная двуспальная кровать позволит создать в спальной комнате комфортное место ночного сна. Изделие изготовлено из качественных материалов ЛДСП и МДФ. Изголовье и изножье кровати декорированы планками. На каркас укладывается ортопедическое основание с ламелями, благоприятно воздействующими на организм человека во время сна, поддерживающими правильную осанку. Глубокое ложе удобно вмещает в себя ортопедический матрас любой толщины, не позволяя ему сдвигаться во время ночного сна, тем самым способствуя полноценному отдыху человека. Сочетание оттенков дуб каменный и сосна норвежская способствуют расслаблению, созданию в комнате уютной атмосферы, располагающей к отдыху.
Высота	871
Ширина	1756
Длина	2100
Спальное место 1600*2000
Вес (кг)	55.6
Тип мебели	Кровать двуспальная
Конструкция	Классическая
Бельевой ящик	Нет
Модель	Арсал
Производитель	VMV
Страна	Украина
Цвет основной	Сосна/Норвежская/Светлый
Материал основной	ЛДСП/МДФ
Цвет корпуса	Сосна/Норвежская/Светлый
Отделка основная	Нет
Доп. аксессуары	Нет
Основание	Ортопедческая решетка (ламели)
Изножье	Да
Тип изголовья	Стационарное
