Широкий и комфортабельный комод отличается сдержанным классическим дизайном. Он легко дополнит интерьер гостиной или спальни став его неотъемлемой частью. Теперь хранить вещи стало удобнее.
Комод произведен из ЛДСП, а его фасады украшены простыми, но элегантными рамками из МДФ. Оригинальные ручки добавляют удобства при эксплуатации. Комод укомплектован тремя большими выдвижными ящиками на роликовых направляющих и двумя по меньше. Широкая и удлиненная столешница станет незаменимым помощником в декорировании комнаты.
Комод Людовик NEW от производителя Мебель - Сервис/Украина, соответствует требованиям классического стиля. Приятный оттенок темного каштана является универсальным и с легкостью впишется в интерьер.
Высота	910
Ширина	1000
Глубина	445
Вес (кг)	60
Тип мебели	Комод
Форма	линейный
Тон основной	Темный
Модель	Людовик
Производитель	MEBEL SERVICE
Страна	Украина
Угол поворота	Отсутствует
Расположение	отдельно стоящий
Цвет основной	Каштан/Нет/Темный
Материал основной	ЛДСП
Материал корпуса	ЛДСП
Цвет корпуса	Каштан/Нет/Темный
Отделка основная	декор МДФ
Доп. аксессуары	Нет
Вид открывания дверей	Нет
Количество ящиков	5
