Большой, красивый стеллаж, станет функциональным украшением гостиной, детской комнаты или кабинета. Великолепные внешние данные, строгая элегантность и эргономичность, позволяют модели прекрасно вписываться практически в любой интерьер в современном или классическом стиле.
В каждом помещении эта мебель найдет свое применение: в детской она станет домом для книжек и игрушек, в гостиной вы сможете выставить на всеобщее обозрение любимую коллекцию или изысканные элементы декора, а офисные работники получат множество места для деловой документации, справочников. Мебель изготовлена из качественного, ламинированного ДСП. Всего стеллаж имеет пять просторных полок, две из которых скрыты за распашными дверцами, а три  открытого типа.
Высота	2160
Ширина	899
Глубина	434
Вес (кг)	52
Тип мебели	Шкаф стеллаж
Функциональное назначение	для книг/для белья
Форма	линейный
Модель	Фантазия
Производитель	MEBEL SERVICE
Страна	Украина
Угол поворота	Отсутствует
Расположение	отдельно стоящий
Цвет основной	Дуб/Сонома/Светлый
Материал основной	ЛДСП
Материал корпуса	ЛДСП
Цвет корпуса	Венге/Нет/Темный
Отделка основная	Нет
Доп. аксессуары	Нет
Количество дверей	2
Вид открывания дверей	Распашные
Количество полок	3
Вид полки	съемная
Материал полки	ЛДСП
