Большая и вместительная тумба, выполнен в традициях современной классики. Прекрасно подобранное цветовое сочетание дуба самоа и венге смотрятся потрясающе. Традиционные строгие формы, освежат ваш интерьер, при этом решая проблему размещения множество вещей.
Изделие функционально, имеет посредине четыре больших, выдвижных ящика на роликовых направляющих. По бокам размещаются два больших отдела за распашными дверцами. Внутри они разделены съемными полочками. Большая столешница, тоже вам пригодится в спальне ее можно превратить в туалетный столик или тумбу под телевизор, в гостиной  разместить элементы декора, стильную лампу. Тумба изготовлена из износостойких материалов, ламинированного ЛДСП и качественной фурнитуры.
Высота	830
Ширина	1248
Глубина	436
Вес (кг)	53
Тип мебели	Тумба традиционная
Модель	Фантазия
Страна	Украина
Форма	линейная
Производитель	MEBEL SERVICE
Угол поворота	Отсутствует
Расположение	отдельно стоящий
Цвет основной	Дуб/Самоа/Светлый
Материал основной	ЛДСП
Материал корпуса	ЛДСП
Цвет корпуса	Венге/Нет/Темный
Отделка основная	Нет
Доп. аксессуары	Нет
Количество дверей	2
Вид открывания дверей	Распашные
Количество ящиков	4
Количество полок	2
Вид полки	съемная
Материал полки	ЛДСП
