Простой и вместительный комод станет незаменимым дополнением интерьера детской или спальни. Оригинальный дизайн добавляет изделию лоска, а рациональная организация пространства  функциональности. Изделие произведено из прочного и качественного ЛДСП и выделяется отсутствием вычурного декора. Насыщенности ему добавляет игра на контрасте  это умелое сочетание светлого оттенка дуба и темного венге. Комод имеет стандартную комплектацию из четырех выдвижных ящиков на роликовых направляющих. Аккуратные ручки делают использование максимально удобным.
Комод выполнен в современном стиле и полностью соответствует критериям этого направления. Такое изделие станет оригинальным и функциональным дополнением интерьера, сделав хранение вещей максимально удобным! 
Высота	830
Ширина	900
Глубина	436
Вес (кг)	44
Тип мебели	Комод
Форма	линейный
Тон основной	Светлый
Модель	Фантазия
Производитель	MEBEL SERVICE
Страна	Украина
Угол поворота	Отсутствует
Расположение	отдельно стоящий
Цвет основной	Дуб/Самоа/Светлый
Материал основной	ЛДСП
Материал корпуса	ЛДСП
Цвет корпуса	Венге/Нет/Темный
Отделка основная	Нет
Доп. аксессуары	Нет
Вид открывания дверей	Нет
Количество ящиков	4
