Простой и стильный шкаф-пенал добавит функциональности в вашу спальню или детскую, сделав аккуратное хранение вещей простым! Изделие изготовлено из ЛДСП. Шкаф укомплектован тремя съемными полками и одной стационарной, что позволяет рационально использовать пространство в хранении вещей в сложенном виде. Удобства в использовании добавляют изящные металлические ручки. Шкаф выполнен в современном стиле, это подчеркивает контрастное сочетание цветов темный венге и светлый дуб. Теперь ваша комната не только стильная, но и просторная, ведь в вещах царит полный порядок.
Высота	2160
Ширина	450
Глубина	561
Вес (кг)	59
Тип мебели	Шкаф пенал
Функциональное назначение	для белья
Форма	линейный
Модель	Фантазия
Производитель	MEBEL SERVICE
Страна	Украина
Угол поворота	Отсутствует
Расположение	отдельно стоящий
Цвет основной	Дуб/Самоа/Светлый
Материал основной	ЛДСП
Материал корпуса	ЛДСП
Цвет корпуса	Венге/Нет/Темный
Отделка основная	Нет
Доп. аксессуары	Нет
Количество дверей	1
Вид открывания дверей	Распашные
Количество полок	4
Вид полки	съемная
Материал полки	ДСП
Вид штанги	Нет
