Стильный и вместительный шкаф для одежды с легкостью впишется в современный интерьер спальни или детской, и поможет в поддержании порядка  теперь хранение вещей стало простым и удобным. Шкаф производится из прочного ЛДСП. Он оснащен продольной штангой для хранения вещей на вешалках и одной стационарной полкой для хранения головных уборов и прочих вещей. Такое распределение полезного пространства позволяет аккуратно хранить вещи. Простоты в использовании добавляют стильные металлические ручки. Шкаф изготовлен в современном стиле, он сочетает светлые тона дуба и темные нотки венге. Такой шкаф станет незаменимым акцентом в вашей комнате. Управляйте пространством с комфортом! 
Высота	2160
Ширина	900
Глубина	561
Вес (кг)	75
Тип мебели	Шкаф для одежды
Функциональное назначение	для одежды (платья)
Форма	линейный
Модель	Фантазия
Производитель	MEBEL SERVICE
Страна	Украина
Угол поворота	Отсутствует
Расположение	отдельно стоящий
Цвет основной	Дуб/Самоа/Светлый
Материал основной	ЛДСП
Материал корпуса	ЛДСП
Цвет корпуса	Венге/Нет/Темный
Отделка основная	Нет
Доп. аксессуары	Нет
Количество дверей	2
Вид открывания дверей	Распашные
Количество полок	1
Вид полки	стационарная
Материал полки	ЛДСП
Количество штанг	1
Вид штанги	Продольная
