Высота	2160
Ширина	1504
Глубина	439
Вес (кг)	110
Тип мебели	Шкаф прихожая
Функциональное назначение	для одежды (платья)/для обуви
Форма	линейный
Модель	Фантазия
Производитель	MEBEL SERVICE
Страна	Украина
Угол поворота	Отсутствует
Расположение	отдельно стоящий
Цвет основной	Дуб/Самоа/Светлый
Материал основной	ЛДСП
Материал корпуса	ЛДСП
Цвет корпуса	Венге/Нет/Темный
Отделка основная	Нет
Доп. аксессуары	Крючки
Количество дверей	2
Вид открывания дверей	Распашные/откидные
Количество полок	3
Вид полки	стационарная/съемная
Материал полки	ЛДСП
Количество штанг	1
Вид штанги	Поперечная
