Оригинальный и просторный угловой шкаф для одежды и белья отлично дополнит интерьер спальни, а свободное пространство в углах можно использовать с толком. Изделие изготовлено из надежного ЛДСП. Внутри шкаф укомплектован двумя съемными полками и двумя стационарными, продольная штанга предназначена для хранения вещей на вешалках, такое наполнение позволяет рационально использовать полезное пространство. Удобства в эксплуатации добавляют стильные ручки. Шкаф изготовлен в современном стиле. Контрастное сочетание цветов светлый дуб и темный венге лишь добавляет оригинальности. Угловой шкаф "Фантазия" от производителя Мебель - Сервис/Украина, станет незаменимой частью вашей комнаты.
Высота	2160
Ширина	875
Глубина	875
Вес (кг)	97
Тип мебели	Шкаф для одежды
Функциональное назначение	для одежды (платья)/для белья
Форма	угловой
Модель	Фантазия
Производитель	MEBEL SERVICE
Страна	Украина
Угол поворота	Универсальный
Расположение	отдельно стоящий
Цвет основной	Дуб/Самоа/Светлый
Материал основной	ЛДСП
Материал корпуса	ЛДСП
Цвет корпуса	Венге/Нет/Темный
Отделка основная	Нет
Доп. аксессуары	Нет
Количество дверей	1
Вид открывания дверей	Распашные
Количество полок	4
Вид полки	стационарная/съемная
Материал полки	ЛДСП
Количество штанг	1
Вид штанги	Продольная
