Невероятно стильный и вместительный четырехдверный шкаф для одежды станет незаменимым акцентом в вашей спальне. Он отличается функциональностью и лаконичным дизайном. С такой мебелью поддерживать порядок гораздо проще.
Четырехдверный шкаф Людовик NEW производится из качественных материалов от производителя Мебель - Сервис/Украина.  Оригинальности ему добавляет особая древесная текстура фасадов и наличие простого декора в виде планок из МДФ. Верх изделия увенчан массивным карнизом. Удобство во время использования обеспечивают оригинальные металлические ручки. Внутреннее  наполнение шкафа отличается рациональностью. Съемные полки позволяют полноценно использовать свободное место. Удобные штанги делают размещение одежды на вешалках комфортным. Выдвижные ящички предназначены для белья и банных принадлежностей.
Шкаф Людовик NEW изготовлен в элегантном классическом стиле, благородный оттенок темного каштана лишь подчеркивает красоту его дизайна.
Высота	2150
Ширина	2250
Глубина	530
Вес (кг)	253
Тип мебели	Шкаф для одежды
Функциональное назначение	для одежды (платья)/для белья
Форма	линейный
Модель	Людовик
Производитель	MEBEL SERVICE
Страна	Украина
Угол поворота	Отсутствует
Расположение	отдельно стоящий
Цвет основной	Каштан/Нет/Темный
Материал основной	ЛДСП
Материал корпуса	ЛДСП
Цвет корпуса	Каштан/Нет/Темный
Отделка основная	декор МДФ/зеркало с фацетом
Доп. аксессуары	Нет
Количество дверей	6
Вид открывания дверей	Распашные/конюшенные
Количество ящиков	2
Количество полок	6
Вид полки	стационарная/съемная
Материал полки	ЛДСП
Количество штанг	1
Вид штанги	Продольная
Вид карниза	Съемный
