Стильный и удобный трехдверный шкаф декорированный великолепными панелями из искусственной кожи, выглядит очень презентабельно и станет настоящим украшением вашего дома. Выполненный в нежном и теплом цвете Ясень светлый шкаф наполнит комнату светом, поэтому отлично подходит даже к небольшим комнатам с недостатком естественного освещения. Этому же способствует большая зеркальная панель в центральной части фасада.
Продуманное и рациональное внутреннее наполнение шкафа полностью удовлетворит потребности всей семьи. В центральной части находятся пять накладных полок, которые дают возможность систематизировать весь гардероб, как вам удобно. По бокам находят два одинаковые отделения с встроенными штангами, для хранения одежды на плечиках, и верхними полочками под шляпы, сумки и других вещей. Прекрасная мебель для гостиной, спальни или большой прихожей.
Изготовлен шкаф из качественных, износостойких материалов, которые гарантируют долгий срок службы изделия. 
Высота	2217
Ширина	1450
Глубина	574
Вес (кг)	191.9
Тип мебели	Шкаф для одежды
Функциональное назначение	для одежды (платья)/для белья
Форма	линейный
Модель	Сорренто
Производитель	Кураж
Страна	Россия
Угол поворота	Отсутствует
Расположение	отдельно стоящий
Цвет основной	Ясень/Светлый/Светлый
Материал основной	ЛДСП
Материал корпуса	ЛДСП
Цвет корпуса	Ясень/Светлый/Светлый
Отделка основная	вставки из кожзаменителя/зеркало с фацетом
Доп. аксессуары	Нет
Количество дверей	3
Вид открывания дверей	Распашные
Количество полок	7
Вид полки	стационарная/съемная
Материал полки	ДСП
Количество штанг	2
Вид штанги	Продольная
Вид карниза	Отстутствует
Вид ножек	Стационарные
