Высота	2045
Ширина	700
Глубина	335
Вес (кг)	64
Тип мебели	Шкаф пенал
Функциональное назначение	для белья
Форма	линейный
Модель	Людовик
Производитель	MEBEL SERVICE
Страна	Украина
Угол поворота	Отсутствует
Расположение	отдельно стоящий
Цвет основной	Каштан/Нет/Темный
Материал основной	МДФ
Материал корпуса	ЛДСП
Цвет корпуса	Каштан/Нет/Темный
Отделка основная	декор МДФ
Доп. аксессуары	Нет
Количество дверей	2
Вид открывания дверей	Конюшенные
Количество полок	4
Вид полки	стационарная/съемная
Материал полки	ДСП
Вид штанги	Нет
Вид карниза	Съемный
