Высота	1942
Ширина	930
Глубина	526
Вес (кг)	93
Тип мебели	Шкаф для одежды
Функциональное назначение	для одежды (платья)
Форма	линейный
Модель	Симба
Страна	Украина
Угол поворота	Отсутствует
Расположение	отдельно стоящий
Цвет основной	Синий/Нет/Светлый
Материал основной	ЛДСП
Материал корпуса	ЛДСП
Цвет корпуса	Береза/Нет/Светлый
Отделка основная	Нет
Доп. аксессуары	Нет
Количество дверей	2
Вид открывания дверей	Распашные
Количество ящиков	3
Количество полок	2
Вид полки	стационарная/съемная
Материал полки	ДСП
Количество штанг	1
Вид штанги	Продольная
Вид карниза	Отстутствует
Вид ножек	Отсутствуют
