Высота	890
Ширина	405
Глубина	405
Вес (кг)	2.88
Вид мебели	Стул
Тип мебели	Стул кухонный
Конструкция	Разборный
Модель	Люкс
Производитель	Sitparad
Страна	Россия
Форма	прямоугольный
Подлокотники	Нет
Цвет основной	Белый/Нет/Светлый
Материал основной	Металл
Изготовлено из дерева	Нет
Отделка основная	Полимерное покрытие
Наполнитель мягкого элемента	Поролон
Жесткость сиденья	средняя
Жесткость спинки	жесткая
Вид ткани	Рогожка
Цвет ткани	Серо/Черный/Нет/Темный
Тон ткани	Темный
Артикул ткани	9016 матовый, Гранд темно серый
