Высота	1000
Ширина	425
Глубина	425
Вес (кг)	4.4
Вид мебели	Стул
Тип мебели	Стул кухонный
Конструкция	Разборный
Модель	Скиф
Производитель	Sitparad
Страна	Россия
Форма	прямоугольный
Подлокотники	Нет
Цвет основной	Серебристый/Нет/Светлый
Материал основной	Металл
Изготовлено из дерева	Нет
Отделка основная	полимерное покрытие
Наполнитель мягкого элемента	Поролон
Жесткость сиденья	средняя
Жесткость спинки	средняя
Вид ткани	Кожа искусственная
Цвет ткани	Коричневый/Нет/Темный
Тон ткани	Темный
Категория ткани	6
Артикул ткани	Рептилия коричневый
