Высота	964
Ширина	360
Глубина	390
Вес (кг)	4.2
Вид мебели	Стул
Тип мебели	Стул кухонный
Конструкция	Разборный
Модель	Родео
Производитель	Sitparad
Страна	Россия
Форма	прямоугольный
Подлокотники	Нет
Цвет основной	Серебристый/Нет/Светлый
Материал основной	Металл
Изготовлено из дерева	Нет
Отделка основная	Полимерное покрытие
Наполнитель мягкого элемента	Поролон
Жесткость сиденья	средняя
Жесткость спинки	средняя
Вид ткани	Рогожка
Цвет ткани	Бирюзовый/Нет/Светлый
Тон ткани	Светлый
Категория ткани	1
Артикул ткани	9016 матовый
