Высота	964
Ширина	390
Глубина	390
Вес (кг)	4.2
Вид мебели	Стул
Тип мебели	Стул кухонный
Конструкция	Разборный
Модель	Родео
Производитель	Sitparad
Страна	Россия
Форма	прямоугольный
Подлокотники	Нет
Цвет основной	Бежевый/Нет/Светлый
Материал основной	Металл
Изготовлено из дерева	Да
Отделка основная	Полимерное покрытие
Наполнитель мягкого элемента	Поролон
Жесткость сиденья	средняя
Жесткость спинки	средняя
Вид ткани	Жаккард
Цвет ткани	Коричневый/Бежевый/Нет/Светлый
Тон ткани	Светлый
Артикул ткани	Камень беж, Элиза браун
