Высота	964
Ширина	390
Глубина	390
Вес (кг)	4.2
Вид мебели	Стул
Тип мебели	Стул кухонный
Конструкция	Разборный
Модель	Родео
Производитель	Sitparad
Страна	Россия
Форма	прямоугольный
Подлокотники	Нет
Цвет основной	Серебристый/Нет/Светлый
Материал основной	Металл
Изготовлено из дерева	Нет
Отделка основная	полимерное покрытие
Наполнитель мягкого элемента	Поролон
Жесткость сиденья	средняя
Жесткость спинки	средняя
Вид ткани	Кожа искусственная
Цвет ткани	Бежевый/Нет/Светлый
Тон ткани	Светлый
Категория ткани	6
Артикул ткани	9006 Монако ивори
